estimand,target,rmse,r2_vs_target,corr_with_target,bias
raw_even (AVG rating even half; pass2),adj_odd,0.3702761725327922,0.8101377509627227,0.9646190672430829,-0.29469445927352456
raw_even,raw_odd,0.17662753964584244,0.9525567297759437,0.9762933300708361,8.88849385753673e-05
adj_even (severity-adjusted AVG even),adj_odd,0.1539080101814181,0.9671973042296936,0.9836176353321898,-0.00048751845694430107
adj_shrunk_even (EB w=n/(n+lambda) lambda=2.00 mu=7.139),adj_odd,0.15296580478230112,0.967597702792773,0.9836885661379952,0.005832285564326678
bayes_rating (BGG; prior 5.49 lam=2500),adj_odd,1.2654037837396503,-1.2174066557816636,0.607606522487656,-1.06765986013017
bayes_rating,raw_odd,1.009706218433479,-0.5504145663120363,0.6011641389227083,-0.7728765159180722
